tier_name	text
facilitator	OK {SL}sp AWESOME THEN THE FIRST THING I'M GONNA HAVE YOU DO IS JUST sp FILL OUT sp A LITTLE sp JUST A REALLY BRIEF QUESTIONNAIRE LET ME MAKE sp THAT BIGGER sp FOR YOU sp UM SO IF YOU COULD JUST FILL THAT OUT WITH THE KEYBOARD AND MOUSE sp RIGHT sp THERE TAKE sp YOUR*
participant	THIS
facilitator	TIME* {SL}
participant	MOUSE FEELS WEIRD I'M NOT USED TO THIS KI-+ KIND sp
facilitator	YEAH sp
participant	OR+ sp OR+ sp UH OK* sp
facilitator	IS IT
participant	I+
facilitator	NOT* IS+ IT+ NOT+ WORKING*
participant	IT'S FINE {SL} THERE IT IS {SL}
facilitator	OK {SL}
participant	OH sp OK sp THERE'S THE MOUSE {SL}
facilitator	YEAH {SL}
participant	OH RIGHT I FORGOT {SL} sp OH MY IT sp DOESN'T HAVE A SCROLL WHEEL {SL}
facilitator	OH {LG} {SL}
participant	OH+ COME+ ON+ {SL}
facilitator	HUH {SL}
participant	MM
facilitator	MM sp THAT KEYBOARD MIGHT BE IFFY sp
participant	OH
facilitator	OH {SL} OH* YEAH* THAT'S* POSSIBLE* sp WE'LL* HAVE* TO CHECK* THAT* {SL} SHOULD* BE* FINE* {SL}
participant	OH SO THIS QUARTER IT'S LOWER THAN TWO POINT sp FIVE sp CAUSE sp I HAD A sp VERY {SL}
facilitator	MM {SL}
participant	BAD SCHEDULE LAST QUARTER sp
facilitator	OH sp THAT'S+ OK+ sp
participant	ER LAST sp SEMESTER I GUESS ACTUALLY YEAH {SL}
facilitator	YEAH* {SL} OK* sp PERFECT sp UM THEN I WILL SHUT sp THIS {SL} OK sp SO THANK YOU AGAIN FOR AGREEING TO PARTICIPATE {SL}
participant	NO PROBLEM {SL}
facilitator	AND AS THE CONSENT FORM INDICATED YOU'RE FREE TO PAUSE sp THE STUDY OR LEAVE AT ANY TIME JUST LET ME KNOW IF YOU FEEL UNCOMFORTABLE AND WE CAN TAKE A BREAK sp
participant	OK {SL}
facilitator	OK sp AND THIS IS THE FIRST SESSION AND IT WILL TAKE SIXTY TO NINETY MINUTES sp UM THERE ARE TWO TASKS THAT WE'LL BE DOING TODAY sp SO FIRST I'M GOING TO ASK YOU A FEW QUESTIONS ABOUT MYCOURSES sp THAT'S sp THE FIRST TASK sp AND THEN WE'LL TAKE JUST A FIVE TO TEN MINUTE BREAK sp AND THEN WE'LL JUST PLAY A SIMPLE FLASH GAME sp
participant	OK sp
facilitator	OK sp EXCELLENT sp THEN WE ARE GOING TO START OFF JUST BY CALIBRATING THE EYE TRACKING GLASSES sp THAT YOU'RE WEARING
participant	MHM {SL}
facilitator	SO sp BLACK EXES WILL SHOW UP ON THE SCREEN AND JUST FOLLOW THOSE WITH YOUR EYES {SL} THEY* WILL* sp OK {SL} OK+ SO LET sp ME sp JUST GET MYCOURSES PULLED UP ON THE SCREEN* HERE* {SL} sp OK sp {SL} ALRIGHT SO TO START WE HAVE MY- P- MYCOURSES PULLED UP HERE* SO* I'M* GOING* TO* ASK* YOU A FEW QUESTIONS ABOUT IT PLEASE JUST RESPOND OUT LOUD sp AND IF YOU DON'T KNOW THE ANSWER TO A QUESTION PLEASE TRY TO GUESS sp AND IF YOU'RE ABSOLUTELY UNSURE WHAT THE ANSWER IS YOU CAN TELL ME THAT YOU WANT TO SKIP THE QUESTION
participant	OK {SL}
facilitator	OK sp SO HOW DOES A STUDENT USE MYCOURSES {SL}
participant	UM THEY PRETTY MUCH LOG INTO MYCOURSES UM TO sp UH RETRIEVE GRADES SYLLABUSES sp UH COURSE WORK CHECK DEADLINES SUBMIT WORK sp UH SOME CLASSES HAVE LOCKERS THEY CAN UPLOAD sp RELEVANT FILES TO GET THEM LATER sp UH OTHERS HAVE sp DISCUSSIONS sp SO THAT UH sp PEOPLE CAN DISCUSS sp WELL STUFF sp AND THERE'S A NEWS UPDATE THING THAT I NEVER REALLY CHECK {SL}
facilitator	MHM sp OK sp ALRIGHT sp GREAT sp WHAT IS SOMETHING THAT A STUDENT MIGHT BE CONFUSED ABOUT WHILE USING MYCOURSES {SL}
participant	UM {SL} THE LAYOUT CAN BE A BIT sp TRICKY TO GET USED TO AT TIMES sp UM sp THE MOBILE LAYOUT IS TERRIBLE sp UH IT'S VERY HARD TO USE MYCOURSES ON MOBILE sp UM {SL} AND sp I CAN'T THINK OF ANYTHING ELSE THEY'D ACTUALLY BE REALLY CONFUSED ABOUT {SL}
facilitator	OK {SL} sp OK sp GREAT sp WHAT IS SOMETHING THAT A STUDENT MIGHT FIND VERY SIMPLE TO DO sp ON MYCOURSES {SL}
participant	UM sp SUBMITTING WORK IS FOR THE MOST PART sp PRETTY SIMPLE sp UH CHECKING sp GRADES IS PRETTY SIMPLE AND UH {SL} UH EH sp HA {SL} sp UH sp LOOKING AT sp UM SYLLABUSES AND STUFF IS NORMALLY sp PRETTY EASY {SL}
facilitator	OK sp GREAT sp WHAT IS SOMETHING THAT YOU WOULD CHANGE ABOUT MYCOURSES {SL}
participant	THE MOBILE sp LAYOUT sp I'D sp IT'S AS I SAID VERY HARD TO ACCESS STUFF sp AND GET STUFF DONE sp ESPECIALLY BECAUSE WHEN YOU sp GO TO A SPECIFIC COURSE PAGE ON IT IT sp DOESN'T REALLY CHANGE THE PAGE IT DOESN'T OFFER ANY OF THE COURSE CONTENT OR AT LEAST IF IT DOES IT'S VERY HARD TO FIND {SL}
facilitator	MHM sp OK sp MAKES SENSE sp UM sp WHAT WOULD YOU HOW WOULD YOU MAKE MYCOURSES EASIER TO LEARN FOR NEW STUDENTS {SL}
participant	UM sp I CAN'T THINK OF ANYTHING ABOUT IT THAT'S REALLY HARD TO LEARN AT LEAST sp ON THE MAIN SITE sp UM sp MOST STUFF IS IN PRETTY REASONABLE PLACES sp MHM I CAN'T THINK OF ANY REAL CHANGES {SL}
facilitator	OK sp GREAT sp AND HOW WOULD YOU MAKE MYCOURSES MORE ACCESSIBLE TO STUDENTS sp WITH DISABILITIES {SL}
participant	UM UH sp I DON'T REALLY HAVE ANY MYSELF sp BUT sp UH* sp ALL* I* CAN THINK OF IS sp POSSIBLY USE A WEIGHTED TEXT FOR PEOPLE WITH DYSLEXIA OR HAVE AN OPTION FOR IT sp UM {SL} BUT sp OTHER THAN THAT I MEAN I KNOW sp I CAN'T sp THINK OF sp UH MANY THINGS I HAVEN'T TRIED sp SOME FEATURES UH sp I HAVEN'T TRIED STUFF THAT sp A LOT OF PEOPLE WITH DISABILITIES WOULD NEED SO {SL}
facilitator	MHM sp OK sp EXCELLENT {SL} UM ALRIGHT* SO* NOW* I'M* GOING* TO* ASK* YOU* A* FEW* QUESTIONS ABOUT HOW TO USE MYCOURSES sp SO PLEASE RESPOND OUT LOUD AGAIN AND ALSO SHOW ME THE STEPS HERE ON THE COMPUTER USING THE KEYBOARD AND MOUSE sp
participant	OK {SL}
facilitator	OK AND AGAIN IF YOU'RE NOT SURE THE ANSWER PLEASE TRY TO GUESS sp AND YOU'RE IF sp YOU'RE ABSOLUTELY UNSURE JUST TELL ME THAT YOU WANT TO SKIP THE QUESTION sp
participant	MMK {SL}
facilitator	OK sp SO FIRST HOW WOULD I SIGN IN {SL}
participant	UM sp WELL sp UH sp AND YOU sp WELL OH I HAVE TO SAY TOO sp UH YOU YOU BASICALLY GO TO THE BOX FILL IN YOUR USER NAME AND PASSWORD sp UH AND THEN HIT ENTER SUBMIT {SL} sp YEP {SL}
facilitator	OK sp GREAT sp HOW CAN I VIEW MY GRADES FOR A COURSE {SL}
participant	UH sp TO VIEW GRADES FOR A COURSE YOU CAN JUST GO TO A COURSE sp UM {SL} sp CLICK IT sp AND sp JUST sp CLICK sp GRADES UP THERE {SL}
facilitator	OK sp GREAT sp IF THERE'S A FILE UNDER THE CONTENT TAB sp HOW CAN I OPEN IT sp AND THEN HOW CAN I DOWNLOAD IT {SL}
participant	WELL YOU GO TO THE CONTENT TAB sp {SL} UH YOU CLICK sp THE FILE sp {NS} sp AND THEN sp {NS} sp NEAR THE BOTTOM THERE'S A sp BIG THING THAT SAYS DOWNLOAD {SL}
facilitator	OK sp GREAT sp HOW CAN I VIEW PAST COURSES {SL}
participant	TO VIEW PAST COURSES YOU GO TO THE sp ER WELL YOU DON'T ACTUALLY HAVE TO SCROLL UP IT'S ON THE TOP BAR sp BUT YOU JUST CLICK THERE AND THERE'S A LIST OF ALL THE COURSES YOU'VE sp TAKEN {SL}
facilitator	ALRIGHT {SL} sp GREAT sp IF I CLICK ON MY NAME IN THE TOP RIGHT CORNER AND CHOOSE PROGRESS sp WHAT INFORMATION CAN I SEE AND WHY WOULD THAT BE USEFUL TO ME {SL}
participant	I'M NOT SURE I'VE EVER CLICKED sp PROGRESS {LG} {SL} sp UH LET'S SEE {SL} UM {SL} sp I'M NOT EVEN SURE WHAT SOME OF THESE ARE I DON'T KNOW WHAT LEARNING OBJECTIVES ARE sp UM {SL} sp SO YOU CAN SEE WHAT YOU YOU CAN SEE sp IT'S BASICALLY A GOOD sp IT'S ONE GOOD WAY TO SEE IF YOU'VE MISSED ANYTHING sp UM {SL} sp ALTHOUGH A LOT OF THESE ARE FOR STUFF THAT'S NOT THERE sp UM sp YOU CAN CHECK YOUR GRADES sp I'M NOT SURE WHAT THE OBJECTIVES ARE BUT YOU CAN CHECK HOW YOUR GRADES HAVE BEEN GOING OVER THE COURSE OF THE SEMESTER sp UM sp IT LOOKS LIKE THERE'S A* sp I DON'T KNOW {SL} sp UH {SL} OH SO THEN THIS UH IS sp LOOKS LIKE IS UH THE NUMBER OF UH sp DOCUMENTS THAT ARE PROVIDED THAT YOU'VE READ sp SO YOU CAN SEE sp ONCE AGAIN IF YOU'VE MISSED ANYTHING ALTHOUGH THERE'S NO REAL sp ER WELL sp {SL} OH sp YEAH {SL} sp YEP {SL} sp UM sp YOU* CAN SEE sp HOW MANY OF sp YOUR CLASS EXERCISES AND HOMEWORK AND STUFF YOU'VE COMPLETED sp ER WAIT NO THAT'S sp IS THIS FOR THIS SPECIF- sp OH THIS FOR THIS SPECIFIC CLASS YEAH {SL} I THOUGHT THIS WAS sp OVERALL sp BECAUSE sp IT'S FROM A DIFFERENT IT'S NOT FROM THERE IT'S FROM HERE SO {SL} SO THAT I GUESS IS ONE THING I WOULD CHANGE IS sp POSSIBLY THE LOCATION OF THE PROGRESS sp THING sp TO PUT IT SOMEWHERE ELSE {SL}
facilitator	OK {SL} sp OK sp AND DOES MY PROFESSOR HAVE ACCESS TO THIS INFORMATION {SL}
participant	UM {SL} sp I'M PRETTY SURE HE DOES I'M NOT POSITIVE {SL}
facilitator	OK sp ALRIGHT sp AND HOW CAN I SEND AN EMAIL TO ANOTHER STUDENT IN THE CLASS USING MYCOURSES {SL}
participant	UM {SL} UH LET'S sp SEE sp UH {SL} sp I'M NOT SURE THERE IS A WAY TO DO SO BUT IF YOU KNOW THE STUDENT'S NAME I DO KNOW THAT YOU CAN GO TO GOOGLE DOT RIT sp UH AND IF YOU JUST TYPE IN THEIR NAME IN THE ADDRESS THING THERE IT WILL AUTO COMPLETE sp TO sp DIFFERENT PEOPLE'S ADDRESSES {SL}
facilitator	OK sp GREAT {SL} AND HOW CAN I USE THE DISCUSSION BOARD sp {SL}
participant	UM {SL} LET'S GO TO ONE THAT ACTUALLY HAS THE DISCUSSION BOARD sp ER WELL IT'S ACTUALLY sp QUICKER TO sp JUST GO BACK TO sp HOME AND SELECT FROM THE CURRENT sp COURSES {SL} sp SO TO GO TO THE DISCUSSION BOARD YOU CAN {SL} UH {SL} {NS} sp GO TO {SL} sp TOPICS YOU CAN START THREADS sp YOU CAN SUBSCRIBE TO THEM I HAVEN'T REALLY USED THIS MUCH MYSELF sp UM sp {SL} SO I DON'T HAVE MUCH TO SAY ABOUT* IT* {SL}
facilitator	OK+
participant	BUT YOU YOU CAN USE THEM TO COMMUNICATE WITH TEACHERS AND OTHER STUDENTS ABOUT sp ISSUES THAT ARE GOING ON IN THE COURSE sp UM AND ABOUT CURRENT ASSIGNMENTS {SL}
facilitator	OK sp EXCELLENT {SL} ALRIGHT THEN THAT'S ALL THE QUESTIONS WE HAVE FOR THAT sp SECTION sp SO WE'RE JUST GOING TO CALIBRATE THE EYE TRACKER GLASSES AGAIN AND THEN WE'LL TAKE A QUICK sp BREAK
participant	OK {SL}
facilitator	OK {SL} LET sp ME sp PULL sp THIS BACK UP sp {NS} {SL} sp ALRIGHT sp SO JUST WATCH sp THE BLACK X'S
participant	OH sp
facilitator	AGAIN {SL}
participant	THE WATER FROM THE FOUNTAIN HERE TASTES WEIRD
facilitator	OH sp HM {SL} ALRIGHT sp SO WE'RE JUST GOING TO TAKE A FIVE TO TEN MINUTE BREAK sp SO SO IF YOU DON'T MIND JUST TAKING OFF THE EYE TRACKING
